N	Area	X	Y	Slice
1	123	425.744	155.280	1
2	137	301.288	222.493	1
3	135	388.626	260.226	1
4	149	30.755	306.433	1
5	103	472.791	339.180	1
6	121	334.145	351.715	1
7	136	97.507	357.603	1
8	123	420.329	389.589	1
9	119	223.903	436.139	1
10	117	460.047	475.021	1
11	127	423.587	161.728	1
12	145	302.355	224.962	1
13	147	383.058	255.105	1
14	157	27.978	308.844	1
15	115	470.735	342.709	1
16	134	336.485	355.709	1
17	141	99.699	356.223	1
18	135	418.833	387.670	1
19	129	214.074	431.143	1
20	121	462.136	476.707	1
21	112	424.241	160.232	1
22	141	299.422	229.883	1
23	136	382.669	259.559	1
24	147	25.595	310.833	1
25	109	470.408	345.069	1
26	127	102.720	356.154	1
27	123	336.110	357.118	1
28	120	418.175	390.025	1
29	126	212.960	426.651	1
30	111	463.806	479.329	1
31	99	429.419	162.167	1
32	131	298.676	234.920	1
33	122	380.869	257.066	1
34	146	21.555	315.514	1
35	82	472.037	343.610	1
36	131	104.011	353.767	1
37	117	334.799	353.286	1
38	106	418.896	390.358	1
39	114	210.333	428.298	1
40	90	462.589	480.311	1
41	117	433.047	159.919	1
42	136	295.382	239.721	1
43	128	382.336	261.945	1
44	146	20.973	318.856	1
45	97	474.892	336.964	1
46	117	333.141	352.201	1
47	131	107.363	354.004	1
48	118	420.949	390.195	1
49	117	213.432	427.175	1
50	100	457.730	473.600	1
51	132	436.803	155.970	1
52	146	290.945	244.089	1
53	141	380.230	263.266	1
54	151	22.480	320.613	1
55	113	475.111	342.730	1
56	143	107.850	350.689	1
57	132	336.742	352.386	1
58	128	425.414	394.492	1
59	131	211.439	426.615	1
60	124	459.500	473.823	1
61	135	438.944	156.819	1
62	142	290.606	246.423	1
63	141	382.181	267.663	1
64	152	22.059	315.362	1
65	113	471.987	340.854	1
66	133	334.222	352.425	1
67	140	110.864	357.086	1
68	133	425.297	397.748	1
69	134	218.045	427.582	1
70	123	458.045	471.427	1
71	114	433.421	159.632	1
72	138	295.094	252.174	1
